P_N,a_hom_mm,a_fgm_mm,h_hom_mm,h_fgm_mm,p0_hom_MPa,p0_fgm_MPa,p0_hom_GPa,p0_fgm_GPa,severity_index,pressure_reduction_percent,a_over_D_hom,a_over_D_fgm
1291.45728643216,0.264534512433144,0.417895346195396,0.014701367283244,0.0245079122350822,8811.64014556477,4115.86139762804,8.81164014556477,4.11586139762804,0.467093677185593,53.2906322814407,0.0277872387009606,0.043896569978508
1304.02010050251,0.265389510337937,0.419053793362865,0.0147965529826492,0.0246439772727256,8840.12011134673,4132.95329073711,8.84012011134672,4.13295329073711,0.467522300452938,53.2477699547062,0.0278770494052455,0.0440182556053429
1316.58291457286,0.26623903441076,0.420204298748115,0.0148914334966332,0.0247794823100536,8868.41774387815,4149.95126777814,8.86841774387815,4.14995126777814,0.467947201815435,53.2052798184565,0.0279662851271807,0.0441391070113566
1329.14572864322,0.267083171429989,0.421346991804209,0.0149860127019119,0.0249144349627064,8896.53593374524,4166.85673362535,8.89653593374524,4.16685673362535,0.46836844864754,53.163155135246,0.0280549549821417,0.0442591377945598
1341.70854271357,0.267922005993557,0.422481998674456,0.0150802943898343,0.0250488426718932,8924.47749890374,4183.67105909226,8.92447749890374,4.18367105909226,0.468786106481436,53.1213893518564,0.028143067856466,0.0443783612053
1354.27135678392,0.268755620593587,0.423609442307133,0.0151742822690428,0.0251827127099802,8952.24518716486,4200.3955820679,8.95224518716486,4.2003955820679,0.469200239074121,53.0799760925879,0.0282306324152927,0.0444967901583123
1366.83417085427,0.269584095687798,0.424729442565206,0.0152679799680268,0.0253160521858493,8979.84167857389,4217.03160860487,8.97984167857389,4.21703160860487,0.469610908471449,53.0389091528551,0.0283176571100628,0.0446144372442443
1379.39698492462,0.270407509767862,0.42584211633131,0.0153613910375749,0.0254488680500397,9007.26958768708,4233.58041396187,9.00726958768708,4.23358041396187,0.470018175069298,52.9981824930702,0.0284041501856998,0.0447313147406838
1391.95979899497,0.271225939424863,0.42694757760824,0.0154545189531301,0.0255811670996818,9034.53146575212,4250.04324360289,9.03453146575212,4.25004324360289,0.47042209767201,52.957790232799,0.0284901196874856,0.0448474346227143
1404.52261306533,0.272039459412001,0.428045937615176,0.0155473671170534,0.0257129559832347,9061.6298027969,4266.42131415533,9.0616298027969,4.26642131415533,0.470822733548272,52.9177266451728,0.0285755734676472,0.0449628085730227
1417.08542713568,0.272848142704701,0.429137304879864,0.0156399388607994,0.0258442412050366,9088.56702963153,4282.71581432892,9.08856702963153,4.28271581432892,0.471220138484531,52.8779861515469,0.0286605191916703,0.0450774479915824
1429.64824120603,0.273652060558225,0.430221785326961,0.0157322374470089,0.0259750291296764,9115.34551976762,4298.92790579763,9.11534551976762,4.29892790579763,0.471614366836116,52.8385633163884,0.0287449643443514,0.0451913640049329
1442.21105527638,0.27445128256294,0.431299482362727,0.0158242660715216,0.0261053259861959,9141.96759125913,4315.05872404615,9.14196759125913,4.31505872404615,0.472005471576151,52.7994528423849,0.028828916235603,0.0453045674750763
1454.77386934673,0.275245876697343,0.432370496956249,0.0159160278653129,0.02623513787213,9168.43550846864,4331.10937918273,9.16843550846864,4.33110937918273,0.472393504342393,52.7606495657607,0.0289123820060235,0.0454170690080094
1467.33668341709,0.276035909378954,0.433434927717377,0.0160075258963584,0.0263644707573927,9194.75148376259,4347.08095672009,9.19475148376259,4.34708095672009,0.472778515482097,52.7221484517903,0.0289953686322431,0.0455288789619094
1479.89949748744,0.276821445513179,0.434492870971512,0.0160987631714298,0.0264933304880162,9220.91767913899,4362.97451832572,9.22091767913899,4.36297451832572,0.473160554094993,52.6839445905007,0.0290778829320566,0.0456400074549907
1492.46231155779,0.277602548540248,0.435544420831416,0.0161897426378237,0.0266217227897495,9246.93620779085,4378.79110254323,9.24693620779085,4.37879110254323,0.473539668074486,52.6460331925514,0.0291599315693538,0.0457504643730479
1505.02512562814,0.278379280480313,0.436589669266188,0.0162804671850287,0.0267496532715233,9272.80913560834,4394.53172548596,9.27280913560834,4.39453172548596,0.47391590414717,52.608409585283,0.0292415210588564,0.0458602593767004
1517.58793969849,0.279151701976789,0.437628706167516,0.0163709396463315,0.0268771274287867,9298.5384826226,4410.19738150419,9.2985384826226,4.41019738150419,0.474289307910711,52.5710692089289,0.0293226577706711,0.0459694019083525
1530.15075376884,0.27991987233803,0.438661619413372,0.0164611628003653,0.0270041506467223,9324.12622439394,4425.78904382712,9.32412622439394,4.42578904382712,0.474659923870217,52.5340076129783,0.029403347934667,0.0460779011988836
1542.7135678392,0.280683849577413,0.439688494929232,0.0165511393726042,0.0271307282033441,9349.57429334695,4441.3076651809,9.34957429334695,4.4413076651809,0.475027795473135,52.4972204526865,0.0294835976446863,0.046185766274079
1555.27638190955,0.281443690451902,0.440709416746962,0.0166408720368038,0.0272568652724843,9374.8845800551,4456.75417838357,9.3748845800551,4.45675417838357,0.475392965142764,52.4607034857236,0.0295634128625947,0.0462930059608153
1567.8391959799,0.282199450499156,0.441724467061464,0.0167303634163919,0.0273825669266733,9400.05893447693,4472.12949691824,9.40005893447693,4.47212949691824,0.475755474310449,52.4244525689551,0.0296427994221802,0.0463996288930109
1580.40201005025,0.282951184073264,0.442733726285194,0.0168196160858114,0.0275078381399175,9425.09916714621,4487.43451548516,9.42509916714621,4.48743451548516,0.476115363446504,52.3884636553496,0.0297217630329059,0.0465056435173523
1592.9648241206,0.28369894437915,0.443737273100631,0.016908632571816,0.0276326837903797,9450.00705031805,4502.67011053385,9.45000705031805,4.50267011053385,0.476472672089944,52.3527327910056,0.0298003092835242,0.0466110580988058
