k,a_mm,a_over_D,is_valid
0.419698996655518,0.509186814124493,0.0534860098870266,1
0.422976588628763,0.510072301722448,0.0535790232901731,1
0.426254180602007,0.510963709999432,0.0536726586133858,1
0.429531772575251,0.51186110604012,0.053766922903374,1
0.432809364548495,0.512764558233697,0.0538618233438758,1
0.436086956521739,0.513674136305297,0.0539573672589597,1
0.439364548494983,0.514589911348404,0.054053562116429,1
0.442642140468227,0.515511955858273,0.0541504155313312,1
0.445919732441472,0.51644034376639,0.0542479352695788,1
0.449197324414716,0.517375150476014,0.0543461292516821,1
0.45247491638796,0.518316452898851,0.054445005556602,1
0.455752508361204,0.519264329492892,0.054544572425724,1
0.459030100334448,0.52021886030146,0.05464483826696,1
0.462307692307692,0.521180126993515,0.0547458116589827,1
0.465585284280936,0.522148212905268,0.0548475013555953,1
0.468862876254181,0.523123203083142,0.054949916290246,1
0.472140468227425,0.524105184328148,0.0550530655806878,1
0.475418060200669,0.525094245241719,0.0551569585337941,1
0.478695652173913,0.526090476273065,0.0552616046505321,1
0.481973244147157,0.527093969768105,0.0553670136311034,1
0.485250836120401,0.528104820020041,0.0554731953802565,1
0.488528428093645,0.529123123321648,0.0555801600127782,1
0.49180602006689,0.530148978019322,0.0556879178591725,1
0.495083612040134,0.531182484568994,0.055796479471533,1
0.498361204013378,0.532223745593957,0.0559058556296173,1
0.501638795986622,0.533272865944695,0.0560160573471319,1
0.504916387959866,0.534329952760802,0.0561270958782355,1
0.50819397993311,0.535395115535064,0.0562389827242714,1
0.511471571906355,0.536468466179808,0.0563517296407361,1
0.514749163879599,0.537550119095609,0.0564653486444967,1
0.518026755852843,0.538640191242446,0.0565798520212653,1
0.521304347826087,0.539738802213428,0.0566952523333433,1
0.524581939799331,0.540846074311188,0.0568115624276459,1
0.527859531772575,0.541962132627063,0.0569287954440192,1
0.531137123745819,0.543087105123182,0.0570469648238637,1
0.534414715719064,0.544221122717596,0.0571660843190752,1
0.537692307692308,0.545364319372571,0.0572861680013205,1
0.540969899665552,0.546516832186196,0.0574072302716593,1
0.544247491638796,0.547678801487454,0.0575292858705309,1
0.54752508361204,0.5488503709349,0.0576523498881198,1
0.550802675585284,0.550031687619134,0.0577764377751191,1
0.554080267558528,0.551222902169209,0.0579015653539085,1
0.557357859531773,0.552424168863197,0.0580277488301677,1
0.560635451505017,0.553635645743065,0.0581550048049438,1
0.563913043478261,0.554857494734093,0.0582833502871947,1
0.567190635451505,0.556089881769039,0.0584128027068319,1
0.570468227424749,0.557332976917266,0.0585433799282842,1
0.573745819397993,0.558586954519087,0.05867510026461,1
0.577023411371237,0.55985199332557,0.0588079824921817,1
0.580301003344482,0.56112827664407,0.0589420458659737,1
0.583578595317726,0.562415992489764,0.0590773101354795,1
0.58685618729097,0.563715333743505,0.0592137955612926,1
0.590133779264214,0.565026498316279,0.0593515229323823,1
0.593411371237458,0.56634968932063,0.0594905135840998,1
0.596688963210702,0.567685115249379,0.0596307894169516,1
0.599966555183946,0.56903299016203,0.0597723729161796,1
0.603244147157191,0.57039353387924,0.0599152871721891,1
0.606521739130435,0.571766972185794,0.0600595559018692,1
0.609799331103679,0.573153537042508,0.0602052034708517,1
0.613076923076923,0.574553466807544,0.0603522549167588,1
0.616354515050167,0.575967006467637,0.0605007359734913,1
0.619632107023411,0.577394407879771,0.0606506730966146,1
0.622909698996655,0.57883593002385,0.0608020934899002,1
0.6261872909699,0.580291839266996,0.0609550251330878,1
0.629464882943144,0.581762409640088,0.0611094968109337,1
0.632742474916388,0.583247923127239,0.0612655381436175,1
0.636020066889632,0.584748669968926,0.0614231796185847,1
