k,a_mm,h_mm,p0_MPa,p0_GPa,severity_index
0.38427135678392,0.499976275280442,0.0379376659637307,6464.09560322566,6.46409560322566,0.553907546613731
0.389195979899497,0.501218501500751,0.0379912617072433,6441.45358059099,6.44145358059099,0.551967354516065
0.394120603015075,0.502472689476339,0.0380467553252493,6418.65055880294,6.41865055880294,0.55001336642101
0.399045226130653,0.503739027543646,0.038104168785481,6395.68595546379,6.39568595546379,0.548045532422979
0.403969849246231,0.505017709347152,0.0381635249663768,6372.55915510408,6.37255915510408,0.546063799782472
0.408894472361809,0.506308934020696,0.0382248476856404,6349.26950845702,6.34926950845702,0.544068112863897
0.413819095477387,0.507612906376906,0.0382881617302543,6325.81633170073,6.32581633170073,0.542058413070644
0.418743718592965,0.508929837105153,0.0383534928880232,6302.198905667,6.302198905667,0.540034638777277
0.423668341708543,0.510259942978482,0.0384208679807287,6278.41647501495,6.27841647501495,0.53799672525873
0.428592964824121,0.511603447070005,0.0384903148989835,6254.46824736814,6.25446824736814,0.535944604616366
0.433517587939699,0.512960578979265,0.0385618626388753,6230.35339241338,6.23035339241338,0.533878205700752
0.438442211055276,0.514331575069104,0.0386355413405012,6206.07104095961,6.20607104095961,0.531797454031012
0.443366834170854,0.515716678713628,0.038711382328497,6181.62028395478,6.18162028395478,0.52970227171059
0.448291457286432,0.517116140557867,0.0387894181546742,6157.00017145899,6.15700017145899,0.527592577339255
0.45321608040201,0.518530218789797,0.0388696826428851,6132.20971157165,6.13220971157165,0.525468285921168
0.458140703517588,0.519959179425411,0.0389522109362439,6107.24786931054,6.10724786931054,0.523329308768833
0.463065326633166,0.521403296607597,0.0390370395468424,6082.11356544035,6.08211356544035,0.52117555340271
0.467989949748744,0.522862852919595,0.0391242064081063,6056.80567524833,6.05680567524833,0.519006923446303
0.472914572864322,0.524338139713907,0.0392137509299499,6031.32302726422,6.03132302726422,0.516823318516473
0.477839195979899,0.52582945745754,0.0393057140568986,6005.66440192196,6.00566440192196,0.514624634108755
0.482763819095477,0.52733711609457,0.0394001383293586,5979.82853015984,5.97982853015984,0.512410761477409
0.487688442211055,0.528861435427044,0.0394970679482292,5953.81409195629,5.95381409195629,0.510181587509952
0.492613065326633,0.530402745515346,0.0395965488430654,5927.61971479764,5.92761971479764,0.507936994595859
0.497537688442211,0.531961387099195,0.0396986287440128,5901.24397207459,5.90124397207459,0.505676860489156
0.502462311557789,0.533537712040561,0.0398033572577578,5874.68538140323,5.87468538140323,0.503401058164551
0.507386934673367,0.535132083789848,0.0399107859477486,5847.94240286691,5.84794240286691,0.501109455666778
0.512311557788945,0.536744877876824,0.0400209684189663,5821.01343717437,5.82101343717437,0.498801915952767
0.517236180904523,0.538376482427851,0.0401339604075446,5793.8968237297,5.7938968237297,0.496478296726264
0.522160804020101,0.540027298711107,0.0402498198755613,5766.59083860914,5.76659083860914,0.494138450264456
0.527085427135678,0.541697741711631,0.0403686071113475,5739.09369243948,5.73909369243948,0.491782223236174
0.532010050251256,0.543388240738111,0.0404903848356906,5711.40352817248,5.71140352817248,0.489409456511188
0.536934673366834,0.545099240063549,0.0406152183143368,5683.51841874936,5.68351841874936,0.48701998496007
0.541859296482412,0.546831199602057,0.040743175477228,5655.43636464883,5.65543636464883,0.484613637244089
0.54678391959799,0.548584595624214,0.0408743270449497,5627.15529131193,5.62715529131193,0.482190235594549
0.551708542713568,0.550359921513654,0.0410087466628993,5598.67304643633,5.59867304643633,0.479749595580929
0.556633165829146,0.552157688567699,0.0411465110437321,5569.9873971321,5.5699873971321,0.477291525867171
0.561557788944724,0.553978426845145,0.0412877001186844,5541.09602693067,5.54109602693067,0.474815827955371
0.566482412060301,0.555822686064523,0.0414323971984296,5511.9965326378,5.5119965326378,0.472322295916114
0.571407035175879,0.557691036556451,0.0415806891441733,5482.68642102083,5.48268642102083,0.469810716104603
0.576331658291457,0.559584070273977,0.0417326665497609,5453.16310531981,5.45316310531981,0.467280866861704
0.581256281407035,0.561502401865189,0.0418884239356362,5423.42390157124,5.42342390157124,0.464732518198915
0.586180904522613,0.56344666981267,0.0420480599555636,5393.46602473216,5.39346602473216,0.462165431466254
0.591105527638191,0.565417537644836,0.0422116776171121,5363.28658459169,5.36328658459169,0.459579359001911
0.596030150753769,0.567415695224599,0.0423793845169872,5332.88258145582,5.33288258145582,0.45697404376248
0.600954773869347,0.569441860121305,0.0425512930923995,5302.25090159023,5.30225090159023,0.454349218932454
0.605879396984925,0.571496779072406,0.0427275208897675,5271.38831240469,5.27138831240469,0.45170460751158
0.610804020100502,0.573581229541963,0.0429081908521797,5240.29145736132,5.24029145736132,0.449039921878546
0.61572864321608,0.575696021383678,0.0430934316271716,5208.95685058727,5.20895685058727,0.446354863329341
0.620653266331658,0.57784199861691,0.0432833778965303,5177.38087117109,5.17738087117109,0.443649121588514
0.625577889447236,0.580020041324935,0.0434781707300041,5145.55975712013,5.14555975712013,0.440922374291385
0.630502512562814,0.58223106768557,0.0436779579649848,5113.48959895424,5.11348959895424,0.438174286435085
0.635427135678392,0.584476036145304,0.0438828946144364,5081.16633290919,5.08116633290919,0.435404509796166
0.64035175879397,0.586755947749163,0.04409314330558,5048.58573372063,5.04858573372063,0.432612682312251
0.645276381909548,0.589071848639751,0.0443088747521038,5015.74340695685,5.01574340695685,0.429798427425034
0.650201005025126,0.591424832740303,0.0445302682629598,4982.63478086589,4.98263478086589,0.426961353381661
0.655125628140704,0.59381604463809,0.0447575122911346,4949.25509769911,4.94925509769911,0.424101052491243
0.660050251256281,0.59624668268623,0.0449908050261515,4915.59940447008,4.91559940447008,0.42121710033299
0.664974874371859,0.598718002343889,0.045230355034472,4881.66254310346,4.88166254310346,0.418309054912069
0.669899497487437,0.601231319776988,0.0454763819524311,4847.4391399245,4.8474391399245,0.415376455758961
0.674824120603015,0.603788015743948,0.045729117236867,4812.92359443479,4.81292359443479,0.412418822967654
0.679748743718593,0.606389539793759,0.0459888049791971,4778.11006731443,4.77811006731443,0.409435656167556
0.684673366834171,0.609037414806679,0.0462557027893684,4742.99246758514,4.74299246758514,0.406426433423494
0.689597989949749,0.611733241911393,0.0465300827568671,4707.56443886167,4.70756443886167,0.403390610057611
0.694522613065327,0.614478705816352,0.046812232496847,4671.81934461181,4.67181934461181,0.400327617386287
0.699447236180904,0.617275580597494,0.0471024562904154,4635.75025233655,4.63575025233655,0.397236861364546
0.704371859296482,0.620125735989611,0.0474010763292488,4599.34991657264,4.59934991657264,0.394117721129547
0.70929648241206,0.623031144234401,0.0477084340759942,4562.6107606093,4.5626107606093,0.390969547433886
0.714221105527638,0.625993887544822,0.0480248917533918,4525.52485679848,4.52552485679848,0.38779166095839
0.719145728643216,0.629016166252926,0.0483508339767483,4488.08390532484,4.48808390532484,0.384583350492916
0.724070351758794,0.632100307716959,0.0486866695463443,4450.27921128625,4.45027921128625,0.381343870972387
0.728994974874372,0.635248776073471,0.0490328334186112,4412.10165991801,4.41210165991802,0.378072441353749
